Corner Number,X,Y,Number,Letter,Angle,Distance,Track
7,761.338562,12361.55859,8,,122.633898,2513.00568,Great Britain
8,5893.893555,12947.20996,9,,59.40549722,3047.371234,Great Britain
9,7295.830078,7780.46582,10,,-159.3327248,3596.243418,Great Britain
10,7534.993164,6906.171875,11,,-0.752108123,3683.364372,Great Britain
11,7336.696289,5474.734863,12,,6.130680888,3828.026612,Great Britain
12,7776.478516,4163.521973,13,,-11.1774927,3976.815262,Great Britain
13,6806.810059,3146.688965,14,,131.6259606,4119.477566,Great Britain
14,2398.952148,-4099.241211,15,,-81.47941395,4987.394516,Great Britain
15,-620.4287109,-993.7661743,16,,61.32915962,5429.392244,Great Britain
16,-1438.052612,-1146.763184,17,,-79.86563689,5522.294778,Great Britain
17,-2309.334229,-105.7196655,18,,-178.5650472,5676.141092,Great Britain
0,-6033.731445,4029.268555,1,,146.5217711,626.6946707,Hungary
1,-4288.64502,3778.159912,1,A,60.47100124,815.9529282,Hungary
2,-1739.765503,2279.862061,2,,-50.33326809,1124.192652,Hungary
3,-2081.064209,3944.518311,3,,5.326484407,1314.768936,Hungary
4,137.2743988,8089.453125,4,,158.7300385,1783.676318,Hungary
5,-20.38125992,10382.61914,5,,-45.15991643,2026.637477,Hungary
6,2399.324463,8671.925781,6,,-6.843936823,2366.408667,Hungary
7,2251.829834,8271.930664,7,,171.7548056,2405.44252,Hungary
8,2747.385742,6726.577148,8,,-132.6878368,2579.712702,Hungary
9,3969.893555,6201.385254,9,,31.11751695,2713.083341,Hungary
10,3859.828125,4303.836426,10,,-166.6926884,2914.984515,Hungary
11,4508.723633,2507.170898,11,,-16.98807626,3105.559375,Hungary
12,1823.330444,-301.9350891,12,,-88.47262055,3502.515402,Hungary
13,917.1895752,547.9914551,12,A,42.29777285,3632.094873,Hungary
14,-202.3192291,920.3615723,13,,146.5172487,3762.388209,Hungary
15,828.6363525,-1344.885132,14,,-50.07392046,4056.929385,Hungary
0,2045.235718,6685.891602,1,,66.6652115,333.1113604,Netherlands
1,1769.605835,3831.817627,2,,-18.44057307,651.2103863,Netherlands
2,733.6047974,2809.591553,3,,29.28387237,817.95696,Netherlands
3,2716.918945,3031.772217,4,,-86.77139364,1041.493459,Netherlands
4,4555.515137,2861.585693,5,,95.34956286,1222.669839,Netherlands
5,6001.011719,3518.55835,6,,-70.1254436,1380.153654,Netherlands
6,8671.674805,2879.995361,7,,-165.8431244,1681.919297,Netherlands
7,7340.243652,117.9933319,8,,108.7362616,2006.674826,Netherlands
8,5498.077637,848.862793,9,,-1.483621451,2221.904578,Netherlands
9,7457.498047,2120.509277,10,,-167.3756565,2491.728078,Netherlands
10,2016.621582,1550.578857,11,,79.03280221,3066.267503,Netherlands
11,1264.387817,1672.332031,12,,-38.19603535,3162.305278,Netherlands
12,1540.923828,-1313.80896,13,,150.0350057,3467.255547,Netherlands
13,-881.4706421,-828.2156372,14,,30.84420841,3734.454241,Netherlands
0,-569.5805054,8153.724609,1,,153.7873318,881.9755202,Italy
1,-146.7545776,8474.981445,2,,-13.83584308,941.3910442,Italy
2,611.6001587,13310.62012,3,,133.0285175,1460.09444,Italy
3,6808.655273,14630.75391,4,,-54.04225612,2104.87779,Italy
4,7130.87207,15023.12305,5,,121.752858,2163.966129,Italy
5,10554.85645,15713.80469,6,,54.64165502,2527.307783,Italy
6,10972.64258,12648.35742,7,,-29.0532831,2838.605952,Italy
7,2562.920166,6171.023438,8,,163.0728606,3902.570439,Italy
8,2478.041504,5270.562012,9,,-21.06669619,4014.022435,Italy
9,1890.108276,4451.185547,10,,152.5444407,4104.886823,Italy
10,-55.33073425,-5800.166992,11,,-95.85285361,5195.924616,Italy
0,431.1326519,3476.576339,1,,40.09899113,401.3929525,Singapore
1,-195.2140343,3722.206835,2,,-116.3381211,470.2999781,Singapore
2,-779.7542603,4085.89997,3,,108.3181261,537.9070806,Singapore
3,-1000.248495,2762.565807,4,,-159.8258419,685.8562884,Singapore
4,-704.2751364,290.4987436,5,,-56.17507239,969.6924922,Singapore
5,-4914.428676,446.0787743,6,,-99.40534019,1399.443511,Singapore
6,-8210.484032,2141.918937,7,,84.28802928,1764.096431,Singapore
7,-9608.455015,545.2344522,8,,-137.5548837,1988.354636,Singapore
8,-11035.32546,1643.48306,9,,-77.1783534,2181.977091,Singapore
9,-13197.99998,-1883.988437,10,,-182.9285609,2597.80046,Singapore
10,-12225.25833,-3008.978817,11,,21.97298113,2753.574965,Singapore
11,-11972.75293,-3759.247104,12,,-133.1642604,2841.404194,Singapore
12,-10795.16415,-4903.606508,13,,-96.04299006,3008.221014,Singapore
13,-9087.216472,75.60817055,14,,273.5626163,3572.770493,Singapore
14,-7370.03274,-1290.333574,15,,247.8039276,3793.891945,Singapore
15,-2544.274083,-1747.779915,16,,41.59452534,4286.482648,Singapore
16,-2205.492525,-2401.410453,17,,48.42185628,4351.125456,Singapore
17,386.8427725,-2657.589497,18,,99.54974114,4606.252144,Singapore
18,1136.566184,-1839.636022,19,,-14.64865963,4739.842225,Singapore
0,6045.819488,-6283.491131,1,,-1.835882396,717.2693484,Japan
1,5449.313781,-7325.65579,2,,-79.31523201,832.2748666,Japan
2,3858.601966,-5655.760175,3,,-134.1816984,1075.710049,Japan
3,2504.393935,-5170.410483,4,,-136.1988987,1244.661272,Japan
4,1936.87674,-3891.844425,5,,-129.3367652,1367.931634,Japan
5,322.5295929,-3353.345714,6,,-320.331449,1541.5951,Japan
6,-609.3335172,-757.0369926,7,,-106.7809499,1870.00654,Japan
7,-3863.618247,-2682.426295,8,,-50.71075453,2254.998266,Japan
8,-5441.422993,-2850.132863,9,,-118.1405828,2419.191438,Japan
9,-6159.973407,83.27579395,10,,-353.2598632,2724.90325,Japan
10,-5880.570255,1633.261253,11,,-301.685905,2895.176829,Japan
11,-7537.191155,-247.0956166,12,,-243.6161902,3148.300282,Japan
12,-12191.27203,2706.535522,13,,-310.9225527,3774.80193,Japan
13,-13672.20069,2412.538121,14,,-206.7239152,3938.114996,Japan
14,-4940.68266,-2004.267274,15,,-254.6839019,4983.299249,Japan
15,-1848.355504,271.9338868,16,,-270.3477774,5362.681194,Japan
16,-1390.61082,-10.20418763,17,,-274.8095207,5411.953335,Japan
17,358.6141693,346.7817109,18,,-294.320427,5594.41485,Japan
0,3743.505951,-4013.367867,1,,-44.65195696,632.4096549,United States
1,3414.022004,-1696.497715,2,,-200.3469641,879.7479978,United States
2,5395.315372,-54.73041859,3,,-43.71563655,1130.570602,United States
3,5846.153185,682.4340137,4,,141.1453401,1242.830136,United States
4,6609.267125,1281.736316,5,,-30.32241391,1335.099667,United States
5,7165.299058,2448.096461,6,,129.9165803,1463.304132,United States
6,9287.598165,2343.861924,7,,-75.27417115,1688.622107,United States
7,10475.25966,3267.232994,8,,94.00044338,1851.53231,United States
8,11266.63987,2843.723968,9,,-109.789377,1937.954318,United States
9,13265.49525,3339.95146,10,,-57.57904769,2147.931877,United States
10,15557.82682,6316.789651,11,,32.93557808,2527.335489,United States
11,4025.114839,3996.419189,12,,-215.0938081,3715.116046,United States
12,4941.583384,2058.167091,13,,-35.26644069,3950.969792,United States
13,4279.206067,2035.992147,14,,-125.8017133,4018.185375,United States
14,2856.971821,3037.77236,15,,-205.7164281,4225.83657,United States
15,3693.059721,1427.171255,16,,-166.3622899,4416.120487,United States
16,3320.282598,212.0593182,17,,-49.84976314,4555.743364,United States
17,2005.000906,-12.1055121,18,,-104.6086551,4700.474048,United States
18,45.3451786,1887.253948,19,,74.126893,4965.101242,United States
19,-2544.672302,618.3306286,20,,-171.0800988,5269.469217,United States
0,11549.39063,-620.4165039,1,,26.96107082,1198.50681,Mexico
1,11579.57056,-1334.711426,2,,-161.4566311,1269.579602,Mexico
2,11984.50098,-1769.020264,3,,26.92466697,1328.015427,Mexico
3,8811.018692,-7835.06543,4,,-166.0793139,2027.726312,Mexico
4,9258.899475,-8332.6875,5,,-0.292552227,2098.948243,Mexico
5,8180.22345,-9021.795898,6,,-109.0460155,2236.782611,Mexico
6,8337.14267,-5797.260254,7,,25.06033653,2567.265893,Mexico
7,7521.641602,-5024.28418,8,,-141.6197772,2676.169383,Mexico
8,7078.690796,-4423.575684,9,,50.28096218,2750.298778,Mexico
9,5329.669922,-3929.691406,10,,-128.9134821,2944.90388,Mexico
10,4822.851563,-3047.813477,11,,34.93331844,3048.028488,Mexico
11,-443.9345703,-1580.670898,12,,-135.5376591,3598.441429,Mexico
12,-791.7460938,77,13,,78.13896702,3783.071131,Mexico
13,-1373.666992,-167.833374,14,,-83.49280598,3845.156422,Mexico
14,-1809.165039,-107.8207397,15,,81.51269428,3888.641849,Mexico
15,-2390.389648,97.96795654,16,,-157.505556,3951.760531,Mexico
16,-1892.053711,1095.236649,17,,-241.9617996,4070.937042,Mexico
0,3781.810059,1577.139771,1,,9.795538592,282.79995,Las Vegas
1,3022.856689,1971.961548,2,,103.7833415,382.4651764,Las Vegas
2,1408.851685,1204.944458,3,,-106.562123,577.2722025,Las Vegas
3,606.3432617,2040.283691,4,,-168.5184741,692.8429182,Las Vegas
4,373.9714661,10559.60645,5,,144.5301816,1550.303073,Las Vegas
5,2913.037842,10944.38574,6,,-59.42271245,1805.869387,Las Vegas
6,3723.593506,12721.67188,7,,231.8608489,2026.499984,Las Vegas
7,3312.993164,13017.13281,8,,-162.7186514,2089.794211,Las Vegas
8,3535.086426,14199.03125,9,,37.76413095,2211.541905,Las Vegas
9,-1211.287964,14780.54102,10,,49.88141021,2687.606238,Las Vegas
10,-2607.494629,16991.49414,11,,44.75830898,2961.404821,Las Vegas
11,-4689.178223,17710.14648,12,,131.4957197,3182.273356,Las Vegas
12,-7525.625488,10705.14746,13,,170.2996857,3925.229377,Las Vegas
13,-7645.392578,-1030.94397,14,,-150.9266066,5127.779622,Las Vegas
14,-7145.836914,-1305.773804,15,,72.87141108,5189.208235,Las Vegas
15,-6660.004883,-1639.414673,16,,-114.8469056,5249.499798,Las Vegas
16,837.0077515,-1526.4646,17,,-74.71852292,5981.43665,Las Vegas
0,4294.859375,2690.717773,1,,-35.34059996,383.2621741,Abu Dhabi
1,3848.351318,4987.570801,2,,42.19816368,626.2519056,Abu Dhabi
2,2206.551025,6155.120117,3,,-163.169332,841.9972604,Abu Dhabi
3,2378.65625,8052.805176,4,,-8.29853324,1034.127553,Abu Dhabi
4,1839.358276,11771.70703,5,,84.32684707,1419.687858,Abu Dhabi
5,-2150.159424,655.3110962,6,,-148.9880374,2620.621826,Abu Dhabi
6,-1583.492065,587.1633301,7,,46.32093034,2686.225068,Abu Dhabi
7,-823.9918823,-1256.985107,8,,-144.5884295,2882.137558,Abu Dhabi
8,5774.805664,-4917.836914,9,,-21.95820526,3697.950671,Abu Dhabi
9,3125.774414,-3602.140381,10,,82.89076184,4044.340601,Abu Dhabi
10,1799.586548,-2781.958252,11,,34.85988974,4187.374102,Abu Dhabi
11,1634.603882,-1529.775146,12,,149.6450959,4317.636569,Abu Dhabi
12,2619.774414,-1222.78186,13,,-41.81124152,4436.392613,Abu Dhabi
13,2523.817139,-131.8815308,14,,54.74603092,4550.3917,Abu Dhabi
14,-79.35454559,-206.4422455,15,,-112.5821617,4817.005697,Abu Dhabi
15,-1076.555908,1716.337036,16,,-23.29245656,5044.630234,Abu Dhabi
