Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Track,Year
0 days 01:32:19.454000,BOT,77,0 days 00:01:10.220000,23,3,,,0 days 00:00:17.638000,0 days 00:00:31.155000,0 days 00:00:21.427000,0 days 01:31:26.873000,0 days 01:31:58.028000,0 days 01:32:19.455000,295,228,279,308,TRUE,MEDIUM,2,TRUE,Alfa Romeo,0 days 01:31:09.234000,32:10.2,1,19,FALSE,,FALSE,TRUE,Austria,2023
0 days 01:34:40.025000,BOT,77,0 days 00:01:09.977000,25,3,,,0 days 00:00:17.225000,0 days 00:00:31.336000,0 days 00:00:21.416000,0 days 01:33:47.274000,0 days 01:34:18.610000,0 days 01:34:40.026000,309,223,272,316,TRUE,MEDIUM,4,TRUE,Alfa Romeo,0 days 01:33:30.048000,34:31.0,1,18,FALSE,,FALSE,TRUE,Austria,2023
0 days 02:03:15.523000,BOT,77,0 days 00:01:09.940000,49,4,,,0 days 00:00:17.212000,0 days 00:00:31.495000,0 days 00:00:21.233000,0 days 02:02:22.796000,0 days 02:02:54.291000,0 days 02:03:15.524000,317,227,275,313,TRUE,HARD,9,TRUE,Alfa Romeo,0 days 02:02:05.583000,03:06.6,1,17,FALSE,,FALSE,TRUE,Austria,2023
0 days 01:08:23.479000,PIA,81,0 days 00:01:12.376000,4,2,,,0 days 00:00:18.045000,0 days 00:00:32.351000,0 days 00:00:21.980000,0 days 01:07:29.143000,0 days 01:08:01.494000,0 days 01:08:23.474000,300,225,268,298,TRUE,MEDIUM,4,FALSE,McLaren,0 days 01:07:11.103000,08:12.1,1,15,FALSE,,FALSE,TRUE,Austria,2023
0 days 01:10:47.654000,PIA,81,0 days 00:01:11.566000,6,2,,,0 days 00:00:17.628000,0 days 00:00:32.031000,0 days 00:00:21.907000,0 days 01:09:53.711000,0 days 01:10:25.742000,0 days 01:10:47.649000,319,223,276,309,TRUE,MEDIUM,6,FALSE,McLaren,0 days 01:09:36.088000,10:37.1,1,15,FALSE,,FALSE,TRUE,Austria,2023
0 days 01:11:58.710000,PIA,81,0 days 00:01:11.056000,7,2,,,0 days 00:00:17.457000,0 days 00:00:31.876000,0 days 00:00:21.723000,0 days 01:11:05.106000,0 days 01:11:36.982000,0 days 01:11:58.705000,318,224,277,308,TRUE,MEDIUM,7,FALSE,McLaren,0 days 01:10:47.654000,11:48.6,1,15,FALSE,,FALSE,TRUE,Austria,2023
0 days 01:24:38.927000,PIA,81,0 days 00:01:10.490000,17,3,,,0 days 00:00:17.440000,0 days 00:00:31.560000,0 days 00:00:21.490000,0 days 01:23:45.872000,0 days 01:24:17.432000,0 days 01:24:38.922000,312,225,278,305,TRUE,HARD,3,TRUE,McLaren,0 days 01:23:28.437000,24:29.4,1,16,FALSE,,FALSE,TRUE,Austria,2023
0 days 01:33:29.192000,PIA,81,0 days 00:01:10.322000,24,4,,,0 days 00:00:17.872000,0 days 00:00:31.310000,0 days 00:00:21.140000,0 days 01:32:36.737000,0 days 01:33:08.047000,0 days 01:33:29.187000,288,228,272,313,TRUE,HARD,2,TRUE,McLaren,0 days 01:32:18.870000,33:19.9,1,18,FALSE,,FALSE,TRUE,Austria,2023
0 days 01:56:18.199000,PIA,81,0 days 00:01:10.091000,43,5,,,0 days 00:00:17.693000,0 days 00:00:31.146000,0 days 00:00:21.252000,0 days 01:55:25.796000,0 days 01:55:56.942000,0 days 01:56:18.194000,296,228,271,294,TRUE,MEDIUM,2,TRUE,McLaren,0 days 01:55:08.108000,56:09.1,1,19,FALSE,,FALSE,TRUE,Austria,2023
0 days 01:58:38.408000,PIA,81,0 days 00:01:09.901000,45,5,,,0 days 00:00:17.693000,0 days 00:00:31.070000,0 days 00:00:21.138000,0 days 01:57:46.195000,0 days 01:58:17.265000,0 days 01:58:38.403000,299,230,274,296,TRUE,MEDIUM,4,TRUE,McLaren,0 days 01:57:28.507000,58:29.5,1,19,FALSE,,FALSE,TRUE,Austria,2023
0 days 01:59:48.270000,PIA,81,0 days 00:01:09.862000,46,5,,,0 days 00:00:17.664000,0 days 00:00:31.127000,0 days 00:00:21.071000,0 days 01:58:56.067000,0 days 01:59:27.194000,0 days 01:59:48.265000,298,228,274,291,TRUE,MEDIUM,5,TRUE,McLaren,0 days 01:58:38.408000,59:39.4,1,19,FALSE,,FALSE,TRUE,Austria,2023
0 days 01:04:57.447000,VER,1,0 days 00:01:25.157000,2,1,,,0 days 00:00:30.527000,0 days 00:00:30.848000,0 days 00:00:23.782000,0 days 01:04:02.817000,0 days 01:04:33.665000,0 days 01:04:57.447000,272,229,244,285,TRUE,MEDIUM,5,FALSE,Red Bull Racing,0 days 01:03:32.290000,04:34.3,1,1,FALSE,,FALSE,TRUE,Hungary,2023
0 days 01:06:22.517000,VER,1,0 days 00:01:25.070000,3,1,,,0 days 00:00:30.491000,0 days 00:00:30.724000,0 days 00:00:23.855000,0 days 01:05:27.938000,0 days 01:05:58.662000,0 days 01:06:22.517000,269,230,242,287,TRUE,MEDIUM,6,FALSE,Red Bull Racing,0 days 01:04:57.447000,05:59.5,1,1,FALSE,,FALSE,TRUE,Hungary,2023
0 days 01:07:47.059000,VER,1,0 days 00:01:24.542000,4,1,,,0 days 00:00:30.403000,0 days 00:00:30.495000,0 days 00:00:23.644000,0 days 01:06:52.920000,0 days 01:07:23.415000,0 days 01:07:47.059000,273,232,243,,TRUE,MEDIUM,7,FALSE,Red Bull Racing,0 days 01:06:22.517000,07:24.5,1,1,FALSE,,FALSE,TRUE,Hungary,2023
